relation_id,sentence_id,description,is_true,expectation,words,c_start,c_length,p_start,p_length,p_length,features,weights
3134752@35_5-3134752@35_10,3134752@35,Valon Behrami-Alessandro Gamberini,,0.416,"{On,17,July,2012,"","",Behrami,and,his,Fiorentina,team-mate,Alessandro,Gamberini,were,signed,by,Napoli,for,undisclosed,fees,.}",10,2,5,1,1,"{INV_NGRAM_1_[team-mate],INV_BETW_L_[conj_and],INV_BETW_D_[conj_and],INV_BETW_[conj_and]}","{-0.15379,-0.017601,-0.0175534,-0.0157064}"
39784654@8_0-39784654@8_27,39784654@8,Domenico Paolella-Sergio Sollima,,0.146,"{Paolella,directed,his,last,film,in,1979,"","",and,briefly,rejoined,the,industry,in,the,early,nineties,when,he,collaborated,on,several,screenplays,for,films,directed,by,Sergio,Sollima,"","",Stelvio,Massi,"","",Lamberto,Bava,and,Aldo,Lado,.}",27,2,0,1,1,"{INV_NGRAM_1_[last],INV_NGRAM_1_[collaborate],INV_NGRAM_1_[early],INV_NGRAM_1_[1979],INV_NGRAM_1_[several],INV_NGRAM_1_[film]}","{-0.425058,-0.364212,-0.227989,-0.160871,-0.157029,-0.149364}"
8357662@11_9-8357662@11_5,8357662@11,Richard Boggs-Hawkins,,0.33,"{Unknown,to,the,police,"","",Hawkins,was,working,with,Boggs,and,Hanson,.}",5,1,9,1,1,"{people_between_bucket=0,NGRAM_1_[work],""BETW_L_[nsubj prep_with]"",""BETW_[nsubj work prep_with]"",""BETW_D_[nsubj work prep_with]""}","{-0.729378,-0.361606,0.214068,0.0128644,0.0128644}"
5151048@12_40-5151048@12_29,5151048@12,Emperor Wencheng of Northern Wei-Tuoba Jun,,0.372,"{The,officials,Dugu,Ni,-LRB-,-RRB-,"","",Yuan,He,"","",Baba,Kehou,-LRB-,-RRB-,"","",and,Buliugu,Li,"","",however,"","",then,overthrew,Zong,and,executed,him,"","",making,Tuoba,Jun,emperor,at,the,age,of,12,"","",as,Emperor,Wencheng,.}",29,2,40,1,1,"{people_between_bucket=0,NGRAM_1_[emperor],NGRAM_1_[12],NGRAM_1_[age],""BETW_[nn emperor dobj make vmod execute conj_and overthrow prep_as]"",""BETW_L_[nn dobj vmod conj_and prep_as]""}","{-0.729378,0.183459,-0.0787644,0.0175586,0.0147751,0.0147751}"
6944923@12_0-6944923@12_18,6944923@12,Francis Xavier Pierz-Frederick John Conrad Rese,,0.35,"{Pierz,arrived,in,the,Diocese,of,Detroit,on,September,16,"","",where,he,presented,his,credentials,to,Bishop,Frederick,John,Conrad,Rese,.}",18,4,0,1,1,"{INV_NGRAM_1_[16],INV_NGRAM_1_[present],INV_NGRAM_1_[arrive],""INV_BETW_L_[prep_to rcmod prep_on nsubj]"",INV_NGRAM_1_[credentials]}","{-0.329374,-0.155875,-0.13991,0.0167544,0.0037452}"
4204966@1_0-4204966@1_3,4204966@1,Konstantin Igelström-Konstantin Gustavovich Igelstr,,0.268,"{Konstantin,Igelstr,m,Konstantin,Gustavovich,Igelstr,m,-LRB-,;,1799,-,1851,-RRB-,Russian,Decembrist,from,the,noble,Swedish,family,of,Igelstr,m.,Konstantin,Igelstrom,was,born,in,the,city,of,Shumsk,on,8,May,1799,.}",3,3,0,2,2,"{INV_NGRAM_1_[m],INV_WORD_SEQ_[m]}","{-0.760789,-0.291737}"
38906365@11_1-38906365@11_24,38906365@11,Steve Ashley-Roger Ruskin Spear,,0.03,"{Among,Ashley,s,contemporaries,at,the,college,were,many,musicians,"","",including,-LRB-,in,the,year,ahead,-RRB-,Pete,Townshend,"","",Ronnie,Wood,and,Roger,Ruskin,Spear,.}",24,3,1,1,1,"{INV_NGRAM_1_[include],INV_NGRAM_1_[s],INV_NGRAM_1_[many],INV_NGRAM_1_[year],INV_NGRAM_1_[contemporary],INV_NGRAM_1_[musician]}","{-0.906718,-0.845661,-0.544551,-0.484481,-0.108783,-0.0931109}"
27951754@27_0-27951754@27_24,27951754@27,Mark Eddinger-Stevie Wonder,,0.066,"{Eddinger,'s,original,synthesizer,programs,have,been,used,on,thousands,of,recordings,by,artists,including,Michael,Jackson,"","",Celine,Dion,"","",Elton,John,"","",Stevie,Wonder,"","",Peter,Gabriel,"","",Herbie,Hancock,"","",Bryan,Ferry,"","",and,Oasis,.}",24,2,0,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[include],INV_NGRAM_1_[use],INV_NGRAM_1_[recording],INV_NGRAM_1_[artist],""INV_NGRAM_2_[artist include]""}","{-1.17199,-0.906718,-0.397509,-0.273857,0.209431,-0.132939}"
40595378@1_0-40595378@1_26,40595378@1,Lojiba Simelane of Swaziland-Mswati,,0.442,"{Lojiba,Simelane,of,Swaziland,Lojiba,Simelane,was,the,Queen,Regent,and,Indlovukati,of,Swaziland,from,1836,after,the,death,of,Sobhuza,I,until,1840,when,King,Mswati,II,became,the,king,.}",26,1,0,2,2,"{INV_NGRAM_1_[death],INV_NGRAM_1_[1836],INV_NGRAM_1_[1840],""INV_BETW_L_[nn nsubj rcmod prep_until dep prep_after nsubj]""}","{-0.41098,0.1328,0.0755262,-0.0015213}"
27907490@9_27-27907490@9_16,27907490@9,Arturo O'Farrill-Celia Cruz,,0.548,"{However,Chico,also,worked,with,many,Latin,music,artists,such,as,Tito,Puente,"","",Machito,"","",Celia,Cruz,"","",and,La,Lupe,"","",which,"","",for,son,Arturo,"","",led,to,a,``,psychotic,upbringing,'',in,which,he,was,unsure,of,his,own,cultural,identity,.}",16,2,27,1,1,"{NGRAM_1_[son],people_between_bucket=0,""BETW_L_[appos prep_such_as conj_and rcmod prep_for]""}","{0.87884,-0.729378,0.00450896}"
6973981@7_21-6973981@7_15,6973981@7,"David Macpherson, 2nd Baron Strathcarron-Lloyd George",,0.342,"{Lord,Strathcarron,'s,father,was,Ian,Macpherson,"","",a,government,minister,in,the,cabinet,of,Lloyd,George,who,had,been,created,Baron,Strathcarron,"","",of,Banchor,"","",in,1936,.}",15,2,21,2,2,"{people_between_bucket=0,NGRAM_1_[create],""BETW_L_[prep_of prep_in rcmod]"",""BETW_[prep_of cabinet prep_in minister rcmod]"",""BETW_D_[prep_of cabinet prep_in minister rcmod]""}","{-0.729378,0.156996,-0.0133772,-0.0133772,-0.0133772}"
42364850@20_3-42364850@20_30,42364850@20,"Sir John Perring, 1st Baronet-Lady Hamilton",,0.276,"{In,1808,"","",Perring,hosted,a,meeting,of,the,`,friends,of,Lady,Hamilton,',"","",a,group,of,financiers,organised,by,Abraham,Goldsmid,to,raise,money,for,Emma,"","",Lady,Hamilton,"","",the,mistress,of,Lord,Nelson,following,Nelson,'s,death,.}",30,2,3,1,1,"{INV_NGRAM_1_[friend],INV_NGRAM_1_[raise],INV_NGRAM_1_[group],INV_NGRAM_1_[money],INV_NGRAM_1_[meeting],INV_NGRAM_1_[host]}","{-0.573404,0.505296,-0.333685,-0.261437,-0.167404,-0.0753982}"
8282121@6_0-8282121@6_19,8282121@6,Eduardo Gageiro-Robert Doisneau,,0.296,"{Gageiro,is,very,much,a,photographer,in,the,style,of,the,postwar,French,humanists,such,as,Henri,Cartier-Bresson,"","",Robert,Doisneau,and,Willy,Ronis,.}",19,2,0,1,1,"{INV_NGRAM_1_[style],INV_NGRAM_1_[much],INV_NGRAM_1_[french],INV_NGRAM_1_[humanist],""INV_BETW_L_[conj_and prep_such_as prep_of prep_in nsubj]"",""INV_NGRAM_2_[french humanist]""}","{-0.428462,-0.293565,-0.0207893,-0.0102721,-0.00933538,-0.00933538}"
101411@60_6-101411@60_27,101411@60,Arrian-Ptolemy,,0.144,"{Ptolemy,was,a,general,"","",and,Arrian,relied,on,him,as,a,professional,of,military,science,and,hence,for,details,of,Alexander,'s,battles,"","",on,which,Ptolemy,was,certainly,well,informed,.}",27,1,6,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[professional],INV_NGRAM_1_[battle],INV_NGRAM_1_[military],INV_NGRAM_1_[hence],INV_NGRAM_1_[detail]}","{-1.17199,-0.264353,-0.191999,-0.101331,-0.0730272,-0.0674214}"
29537853@11_7-29537853@11_14,29537853@11,"Sir Alexander Cornewall Duff-Gordon, 3rd Baronet-Urania",,0.612,"{There,is,also,an,inscription,regarding,Sir,Alexander,and,Lucie,'s,youngest,child,"","",Urania,"","",who,was,born,in,November,1858,-LRB-,?,-RRB-}",14,1,7,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[child],INV_NGRAM_1_[youngest],""INV_NGRAM_2_[youngest child]"",""INV_NGRAM_2_['s youngest]"",""INV_NGRAM_3_['s youngest child]""}","{-1.17199,0.930447,0.48794,0.0963963,0.0486195,0.0175098}"
23229@11_0-23229@11_26,23229@11,Paul Robeson-Essie,,0.068,"{Robeson,initiated,his,international,artistic,r,sum,with,a,theatrical,role,in,Great,Britain,"","",settling,in,London,for,the,next,several,years,with,his,wife,Essie,.}",26,1,0,1,1,"{INV_NGRAM_1_[role],INV_NGRAM_1_[r],INV_NGRAM_1_[year],INV_NGRAM_1_[next],INV_NGRAM_1_[several],INV_NGRAM_1_[international]}","{-0.678928,-0.620921,-0.484481,-0.182359,-0.157029,-0.131269}"
7123250@26_22-7123250@26_8,7123250@26,Shinji Takehara-William Joppy,,0.23,"{Though,Takehara,lost,in,his,first,defense,"","",William,Joppy,remained,a,top,middleweight,contender,for,more,than,seven,years,after,beating,Takehara,.}",8,2,22,1,1,"{people_between_bucket=0,NGRAM_1_[top],NGRAM_1_[beat],NGRAM_1_[remain],""BETW_L_[nsubj prepc_after dobj]"",""NGRAM_2_[seven year]""}","{-0.729378,-0.232738,-0.134285,-0.112914,0.111123,-0.104532}"
7018398@53_2-7018398@53_6,7018398@53,Antonio Vega-Jessica,,0.242,"{Tess,despises,Antonio,as,much,as,Jessica,loves,him,"","",but,Antonio,remains,dedicated,to,Jessica,even,as,she,gives,birth,to,Nash,'s,daughter,"","",Brennan,"","",a.k.a.,``,Bree,.,''}",6,1,2,1,1,"{""INV_BETW_L_[nsubj advcl dobj]"",INV_NGRAM_1_[much],""INV_BETW_[nsubj love advcl despise dobj]"",""INV_BETW_D_[nsubj love advcl despise dobj]""}","{-0.50465,-0.293565,-0.00599784,-0.00599784}"
762427@26_13-762427@26_3,762427@26,Angela Mason-William Mason,,0.434,"{Mason,married,scriptwriter,William,Mason,in,1971,"","",they,divorced,in,1980,with,Mason,retaining,her,married,surname,.}",3,2,13,1,1,"{people_between_bucket=0,NGRAM_1_[divorce],NGRAM_1_[1980],NGRAM_1_[1971],""BETW_D_[dobj marry ccomp divorce prepc_with retain nsubj]"",""BETW_L_[dobj ccomp prepc_with nsubj]""}","{-0.729378,0.397312,0.0197173,-0.0195423,-0.0103816,-0.0103816}"
37356153@21_0-37356153@21_19,37356153@21,Lenox Hewitt-Gorton,,0.112,"{Hewitt,'s,appointment,was,also,in,the,same,anti-traditionalist,mould,as,that,of,the,appointment,of,Ainsley,Gotto,as,Gorton,'s,senior,personal,adviser,.}",19,1,0,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[also],INV_NGRAM_1_[appointment],""INV_NGRAM_2_['s appointment]"",INV_NGRAM_1_[mould],""INV_BETW_L_[poss prep_as prep_of prep_as prep_in nsubj poss]""}","{-1.17199,-0.687095,-0.135093,-0.0729764,-0.00460373,-0.00460373}"
18593895@11_0-18593895@11_4,18593895@11,Paul Weir-Craig Docherty,,0.144,"{Weir,'s,fighters,include,Craig,Docherty,"","",Kriss,Hughes,"","",Jonathan,Slowey,"","",Jason,Hastie,"","",Alexander,White,and,Derry,Mathews,-LRB-,British,Lightweight,Champion,-RRB-,.}",4,2,0,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[include],INV_NGRAM_1_[fighter],""INV_BETW_L_[dobj nsubj poss]"",""INV_BETW_[dobj include nsubj fighter poss]"",""INV_WORD_SEQ_['s fighters include]""}","{-1.17199,-0.906718,0.033223,0.032699,0.0109969,0.0109969}"
60005@2_13-60005@2_2,60005@2,Douglas Mawson-Roald Amundsen,,0.266,"{Along,with,Roald,Amundsen,"","",Robert,Falcon,Scott,"","",and,Ernest,Shackleton,"","",Mawson,was,a,key,expedition,leader,during,the,Heroic,Age,of,Antarctic,Exploration,.}",2,2,13,1,1,"{people_between_bucket=2,""BETW_L_[prep_along_with nsubj]"",""BETW_[prep_along_with leader nsubj]"",""BETW_D_[prep_along_with leader nsubj]""}","{-1.00443,-0.0381579,-0.011925,-0.011925}"
14656118@22_11-14656118@22_15,14656118@22,Danylo Shumuk-Anton,,0.254,"{During,the,round,of,repressions,that,followed,the,Soviet,takeover,"","",Danylo,'s,older,brother,Anton,"","",who,worked,for,the,Polish,National,Railway,was,arrested,as,an,``,enemy,of,the,people,'',.}",15,1,11,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[brother],INV_NGRAM_1_[older],""INV_NGRAM_2_['s older]"",""INV_NGRAM_2_[older brother]"",INV_BETW_[poss]}","{-1.17199,-0.362333,0.263522,0.109991,-0.074234,0.0588572}"
9097921@48_3-9097921@48_7,9097921@48,Thomas Gambino-Salvatore `` Sammy,,0.552,"{In,1991,"","",Gambino,"","",Gotti,"","",Salvatore,``,Sammy,the,Bull,'',Gravano,and,other,Gambino,mobsters,were,indicted,on,charges,of,racketeering,"","",loansharking,"","",extortion,"","",illegal,gambling,and,11,counts,of,murder,.}",7,3,3,1,1,"{""INV_BETW_L_[nn conj_and]""}",{0.176201}
28310855@25_0-28310855@25_17,28310855@25,Rusty Frank-Jean Veloz,,0.444,"{Frank,has,studied,under,Lindy,Hop,legends,Frankie,Manning,"","",Norma,Miller,"","",and,her,mentor,"","",Jean,Veloz,.}",17,2,0,1,1,"{INV_NGRAM_1_[study],""INV_BETW_L_[appos conj_and nsubj]"",INV_NGRAM_1_[legend],INV_NGRAM_1_[mentor],INV_NGRAM_1_[hop],""INV_BETW_D_[appos mentor conj_and study nsubj]""}","{-0.286876,0.246668,-0.168688,-0.14959,0.00619751,0.00190271}"
1704303@150_17-1704303@150_14,1704303@150,Avigdor Lieberman-Netanyahu,,0.392,"{News,reports,had,previously,been,issued,claiming,that,Egypt,would,not,work,with,the,Netanyahu,administration,unless,Lieberman,personally,apologized,.}",14,1,17,1,1,"{people_between_bucket=0,NGRAM_1_[administration],NGRAM_1_[unless],""BETW_D_[nn administration prep_with work advcl apologize nsubj]"",""NGRAM_2_[administration unless]"",""WORD_SEQ_[administration unless]""}","{-0.729378,0.0801542,-0.0516253,-0.00438766,-0.00438766,-0.00438766}"
552897@133_31-552897@133_6,552897@133,Randy Savage-Elizabeth,f,0.228,"{During,this,time,"","",Savage,and,Elizabeth,separated,in,real,life,"","",and,Elizabeth,made,her,final,WWF,appearance,on,April,19,"","",1992,at,the,UK,Rampage,pay-per-view,"","",where,Savage,defended,his,WWF,Championship,against,Shawn,Michaels,.}",6,1,31,1,1,"{people_between_bucket=1,NGRAM_1_[appearance],NGRAM_1_[real],NGRAM_1_[final],NGRAM_1_[19],NGRAM_1_[make]}","{-0.814187,-0.192951,0.170092,-0.125001,-0.116994,-0.116724}"
666446@104_0-666446@104_10,666446@104,René Fonck-Lorraine,,0.262,"{Fonck,remained,in,Paris,but,also,visited,frequently,his,native,Lorraine,where,he,had,business,interests,.}",10,1,0,1,1,"{INV_NGRAM_1_[also],INV_NGRAM_1_[frequently],INV_NGRAM_1_[visit],INV_NGRAM_1_[native],""INV_BETW_L_[dobj conj_and nsubj]"",INV_NGRAM_1_[remain]}","{-0.687095,-0.269726,-0.209083,0.192906,-0.139498,-0.0399007}"
26929713@5_0-26929713@5_30,26929713@5,Hitomi Kudo-Amy Yip,,0.066,"{Kudo,'s,first,Hong,Kong,film,was,Lam,Ngai,Kai,'s,Category,III,classic,``,Erotic,Ghost,Story,'',from,May,"","",1990,and,she,also,had,an,appearance,with,Amy,Yip,in,the,sequel,``,Erotic,Ghost,Story,II,'',-LRB-,1991,-RRB-,.}",30,2,0,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[also],INV_NGRAM_1_[first],INV_NGRAM_1_[appearance],INV_NGRAM_1_[classic],INV_NGRAM_1_[film]}","{-1.17199,-0.687095,-0.344585,-0.336529,-0.221598,-0.149364}"
4714169@19_0-4714169@19_19,4714169@19,Alexa Chung-Wren,,0.34,"{Chung,then,joined,London-based,modelling,agency,"","",Select,Model,Management,"","",and,"","",in,April,2009,"","",she,modelled,Wren,'s,Holiday,2009,collection,"","",alongside,her,friend,Tennessee,Thomas,.}",19,1,0,1,1,"{INV_NGRAM_1_[2009],INV_NGRAM_1_[join],INV_NGRAM_1_[model],""INV_BETW_L_[poss dobj conj_and nsubj]"",INV_NGRAM_1_[agency],""INV_NGRAM_2_[join london-based]""}","{-0.456212,-0.233998,-0.100153,-0.0647506,-0.0131379,0.0010839}"
331124@4_10-331124@4_6,331124@4,Christian Bale-J. G. Ballard,f,0.356,"{Based,on,the,original,story,by,J.,G.,Ballard,"","",Bale,played,an,English,boy,who,is,separated,from,his,parents,and,subsequently,finds,himself,lost,in,a,Japanese,internment,camp,during,World,War,II,.}",6,3,10,1,1,"{people_between_bucket=0,BETW_[appos],BETW_L_[appos],BETW_D_[appos]}","{-0.729378,0.0925565,0.0925565,0.0925565}"
31633661@25_8-31633661@25_1,31633661@25,Evelyn Danzig Haas-Walter,,0.278,"{After,Walter,s,death,in,1995,"","",Mrs.,Haas,became,even,more,active,in,the,campaign,as,one,of,its,most,vocal,proponents,"","",writing,personal,letters,each,year,to,urge,hundreds,of,friends,and,colleagues,to,contribute,to,the,cause,.}",1,1,8,1,1,"{people_between_bucket=0,NGRAM_1_[s],""BETW_L_[nsubj advcl nsubj]"",NGRAM_1_[death],NGRAM_1_[1995],""NGRAM_2_[s death]""}","{-0.729378,-0.671925,0.401185,0.206439,-0.150021,-0.04035}"
22785150@4_23-22785150@4_12,22785150@4,Naomi Yamamoto-George Abbott,,0.24,"{Following,the,2011,BC,Liberal,leadership,election,"","",in,which,Yamamoto,endorsed,George,Abbott,"","",the,new,Premier,"","",Christy,Clark,"","",promoted,Yamamoto,to,Minister,of,Advanced,Education,.}",12,2,23,1,1,"{people_between_bucket=2,NGRAM_1_[new],NGRAM_1_[promote],""BETW_[dobj endorse rcmod election prep_following promote dobj]"",""BETW_L_[dobj rcmod prep_following dobj]"",""BETW_D_[dobj endorse rcmod election prep_following promote dobj]""}","{-1.00443,-0.0957926,-0.0835598,0.00675875,0.00675875,0.00675875}"
2527117@25_15-2527117@25_11,2527117@25,Ralph Reese-Hama,,0.216,"{In,``,Comics,Interview,'',#,37,-LRB-,1986,-RRB-,"","",Hama,recalled,working,with,Reese,and,Wood,:,Reese,worked,from,1972,to,1977,at,Neal,Adams,',Continuity,Associates,studio,at,9,East,48th,Street,in,Manhattan,.}",11,1,15,1,1,"{people_between_bucket=0,NGRAM_1_[work],NGRAM_1_[recall],""BETW_L_[nsubj xcomp prep_with]"",""BETW_D_[nsubj recall xcomp work prep_with]"",""BETW_[nsubj recall xcomp work prep_with]""}","{-0.729378,-0.361606,-0.0862695,-0.0854837,-0.00715298,-0.00715298}"
2589716@28_12-2589716@28_42,2589716@28,Buck Williams-Patrick Ewing,,0.034,"{In,the,twilight,of,his,career,"","",after,the,1995-96,season,"","",Williams,moved,back,to,the,Atlantic,Division,"","",signing,with,the,New,York,Knicks,"","",where,he,played,in,a,much,more,limited,capacity,"","",behind,the,frontcourt,duo,of,Patrick,Ewing,and,Charles,Oakley,.}",42,2,12,1,1,"{INV_NGRAM_1_[play],INV_NGRAM_1_[move],INV_NGRAM_1_[sign],INV_NGRAM_1_[behind],INV_NGRAM_1_[much],INV_NGRAM_1_[back]}","{-0.915355,-0.739148,-0.421494,-0.355892,-0.293565,-0.247975}"
1063636@56_0-1063636@56_18,1063636@56,Jovito Salonga-Pedro L. Yap,,0.31,"{Salonga,openly,and,vigorously,opposed,it,"","",and,he,and,his,law,partners,"","",Sedfrey,Ordo,ez,and,Pedro,L.,Yap,"","",defended,many,cases,of,well-known,political,prisoners,as,well,as,obscure,detainees,"","",most,of,them,on,a,pro,bono,basis,.}",18,3,0,1,1,"{INV_NGRAM_1_[partner],INV_NGRAM_1_[oppose],INV_NGRAM_1_[openly],INV_NGRAM_1_[law],""INV_NGRAM_2_[law partner]"",INV_NGRAM_1_[vigorously]}","{-0.626116,-0.210278,-0.0889072,-0.0685846,0.0121261,0.00554122}"
12416277@38_0-12416277@38_19,12416277@38,André Ayew-Fabrice Abriel,,0.044,"{Ayew,was,inserted,by,manager,Christian,Gourcuff,as,one,of,the,team,'s,focal,points,of,the,attack,alongside,Fabrice,Abriel,"","",Kevin,Gameiro,"","",and,Rafik,Sa,fi,and,made,his,debut,on,16,August,2008,coming,on,as,a,substitute,in,a,0,0,draw,against,Lyon,.}",19,2,0,1,1,"{INV_NGRAM_1_['s],INV_NGRAM_1_[team],INV_NGRAM_1_[point],INV_NGRAM_1_[manager],INV_NGRAM_1_[alongside],INV_NGRAM_1_[attack]}","{-1.17199,-0.664721,-0.478514,-0.287082,-0.271565,-0.115051}"
4444515@16_2-4444515@16_17,4444515@16,Houssine Kharja-Manuel Coppola,,0.38,"{Genoa,got,Kharja,for,6.5,million,"","",while,Siena,signed,the,remain,50,%,registration,rights,of,Manuel,Coppola,for,1.5,M,and,the,full,rights,of,Gianluca,Pegolo,for,1M,.}",17,2,2,1,1,"{INV_NGRAM_1_[sign],INV_NGRAM_1_[million],INV_NGRAM_1_[rights],INV_NGRAM_1_[remain],INV_NGRAM_1_[50],""INV_NGRAM_2_[remain 50]""}","{-0.421494,-0.178047,0.079569,-0.0399007,-0.0117739,-0.00266548}"
